06:49:18 node->uv_mutex_init(0x3921920, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bef8) = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc3c0, 0x2bc3df51aae1, 0x7ffdb69fca40, 0x7ffdb69fc430) = 0x7ffdb69fc430
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa580, 0x7ffdb69fa758, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fab60, 8192, 0, 0)      = 0x7ffdb69fab60
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa580, 27, 0x7ffdb69fa550) = 286
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa580, 27, 0x7ffdb69fa550) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69fa580, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa580, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fac40, 0xdf509c0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fac40, 0xdf509c0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa590, 0xe0a7350, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa590, 0xe0a7350, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbfc0, 0x7ffdb69fc198, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbfc0, 0x7ffdb69fc198, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbfc0, 0x2c6dcbb0, 0x7ffdb69fc030, 0) = 0x7ffdb69fc030
06:49:19 node->uv_fs_open(0, 0x7ffdb69f9d00, 0xdfe1780, 0)  = 27
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9d00, 0xdfe1780, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_buf_init(0x7ffdb69fa080, 4096, 0x7ffdb69f9ed0, 0) = 0x7ffdb69fa080
06:49:19 node->uv_fs_read(0, 0x7ffdb69f9d00, 27, 0x7ffdb69f9cf0) = 818
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9d00, 0x7ffdb69fa080, 0, 0x10095ad) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_read(0, 0x7ffdb69f9d00, 27, 0x7ffdb69f9cf0) = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9d00, 0x7ffdb69fa080, 0, 0x100974b) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_close(0, 0x7ffdb69f9ec0, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9ec0, 27, 0, 0x7f16e4fbed1d) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9d00, 27, 0, 0x7f16e4fbed1d) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbfc0, 0x2c7d0e01, 0x7ffdb69fc030, 0) = 0x7ffdb69fc030
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbed0, 0x7ffdb69fc0a8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbed0, 0x7ffdb69fc0a8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbed0, 0x7ffdb69fc0a8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbe90, 0x2c7d0e01, 0x7ffdb69fbf00, 0) = 0x7ffdb69fbf00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbd60, 0x2bc3df51aae1, 0x7ffdb69fc3e8, 0x7ffdb69fbdd0) = 0x7ffdb69fbdd0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbd60, 0x2bc3df51aae1, 0x7ffdb69fc3e8, 0x7ffdb69fbdd0) = 0x7ffdb69fbdd0
06:49:19 node->uv_fs_open(0, 0x7ffdb69f9f20, 0x7ffdb69fa0f8, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fa500, 8192, 0, 0)      = 0x7ffdb69fa500
06:49:19 node->uv_fs_read(0, 0x7ffdb69f9f20, 27, 0x7ffdb69f9ef0) = 4412
06:49:19 node->uv_fs_read(0, 0x7ffdb69f9f20, 27, 0x7ffdb69f9ef0) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69f9f20, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9f20, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fb240, 0xe09f770, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb240, 0xe09f770, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x2cc95997, 0x7ffdb69fcce0, 0) = 0x7ffdb69fcce0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x7ffdb69fce48, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcb80, 0x2cd89be8, 0x7ffdb69fcbf0, 0) = 0x7ffdb69fcbf0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fca50, 0x2bc3df51aae1, 0x7ffdb69fd0d0, 0x7ffdb69fcac0) = 0x7ffdb69fcac0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fca50, 0x2bc3df51aae1, 0x7ffdb69fd0d0, 0x7ffdb69fcac0) = 0x7ffdb69fcac0
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabd0, 0x7ffdb69fada8, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fb1b0, 8192, 0, 0)      = 0x7ffdb69fb1b0
06:49:19 node->uv_fs_read(0, 0x7ffdb69fabd0, 27, 0x7ffdb69faba0) = 737
06:49:19 node->uv_fs_read(0, 0x7ffdb69fabd0, 27, 0x7ffdb69faba0) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69fabd0, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabd0, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fb2a0, 0xe0a7350, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb2a0, 0xe0a7350, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fb2a0, 0xe0aa1a0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb2a0, 0xe0aa1a0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabe0, 0xe09fb00, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabe0, 0xe09fb00, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabe0, 0xe09f770, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabe0, 0xe09f770, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc610, 0x2cc95997, 0x7ffdb69fc680, 0) = 0x7ffdb69fc680
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc4e0, 0x2bc3df51aae1, 0x7ffdb69fcb60, 0x7ffdb69fc550) = 0x7ffdb69fc550
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa660, 0x7ffdb69fa838, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fac40, 8192, 0, 0)      = 0x7ffdb69fac40
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa660, 27, 0x7ffdb69fa630) = 1986
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa660, 27, 0x7ffdb69fa630) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69fa660, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa660, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabe0, 0xe09fb00, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabe0, 0xe09fb00, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabe0, 0xe0aa1a0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabe0, 0xe0aa1a0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc610, 0x7ffdb69fc7e8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc520, 0x2cc95997, 0x7ffdb69fc590, 0) = 0x7ffdb69fc590
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc3f0, 0x2bc3df51aae1, 0x7ffdb69fca70, 0x7ffdb69fc460) = 0x7ffdb69fc460
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc3f0, 0x2bc3df51aae1, 0x7ffdb69fca70, 0x7ffdb69fc460) = 0x7ffdb69fc460
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa570, 0x7ffdb69fa748, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fab50, 8192, 0, 0)      = 0x7ffdb69fab50
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa570, 27, 0x7ffdb69fa540) = 143
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa570, 27, 0x7ffdb69fa540) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69fa570, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa570, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fac40, 0xe0a7350, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fac40, 0xe0a7350, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fac40, 0xdfe1780, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fac40, 0xdfe1780, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabe0, 0xe0a7350, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabe0, 0xe0a7350, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabe0, 0xe09f770, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabe0, 0xe09f770, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc610, 0x7ffdb69fc7e8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc610, 0x7ffdb69fc7e8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc610, 0x7ffdb69fc7e8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc610, 0x2c6dcbb0, 0x7ffdb69fc680, 0) = 0x7ffdb69fc680
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc610, 0x2cba1746, 0x7ffdb69fc680, 0) = 0x7ffdb69fc680
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc520, 0x7ffdb69fc6f8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc520, 0x7ffdb69fc6f8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc520, 0x7ffdb69fc6f8, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc4e0, 0x2cba1746, 0x7ffdb69fc550, 0) = 0x7ffdb69fc550
06:49:19 node->uv_fs_open(0, 0x7ffdb69fb240, 0xe09f770, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb240, 0xe09f770, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x2cc95997, 0x7ffdb69fcce0, 0) = 0x7ffdb69fcce0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x7ffdb69fce48, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcb80, 0x2cc95997, 0x7ffdb69fcbf0, 0) = 0x7ffdb69fcbf0
06:49:19 node->uv_fs_open(0, 0x7ffdb69fb240, 0xe09f770, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb240, 0xe09f770, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x2cc95997, 0x7ffdb69fcce0, 0) = 0x7ffdb69fcce0
06:49:19 node->uv_fs_open(0, 0x7ffdb69fb240, 0xe09f770, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb240, 0xe09f770, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x7ffdb69fce48, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x7ffdb69fce48, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x2c6dcbb0, 0x7ffdb69fcce0, 0) = 0x7ffdb69fcce0
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa9b0, 0xdfe1780, 0)  = 27
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa9b0, 0xdfe1780, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_buf_init(0x7ffdb69fad30, 4096, 0x7ffdb69fab80, 0) = 0x7ffdb69fad30
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa9b0, 27, 0x7ffdb69fa9a0) = 1187
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa9b0, 0x7ffdb69fad30, 0, 0x10095ad) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa9b0, 27, 0x7ffdb69fa9a0) = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa9b0, 0x7ffdb69fad30, 0, 0x100974b) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_close(0, 0x7ffdb69fab70, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fab70, 27, 0, 0x7f16e4fbed1d) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa9b0, 27, 0, 0x7f16e4fbed1d) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcc70, 0x2c7d0e01, 0x7ffdb69fcce0, 0) = 0x7ffdb69fcce0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcb80, 0x7ffdb69fcd58, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcb80, 0x7ffdb69fcd58, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcb80, 0x7ffdb69fcd58, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fcb40, 0x2c7d0e01, 0x7ffdb69fcbb0, 0) = 0x7ffdb69fcbb0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fca10, 0x2bc3df51aae1, 0x7ffdb69fd098, 0x7ffdb69fca80) = 0x7ffdb69fca80
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fca10, 0x2bc3df51aae1, 0x7ffdb69fd098, 0x7ffdb69fca80) = 0x7ffdb69fca80
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fca10, 0x2bc3df51aae1, 0x7ffdb69fd098, 0x7ffdb69fca80) = 0x7ffdb69fca80
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabd0, 0x7ffdb69fada8, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fb1b0, 8192, 0, 0)      = 0x7ffdb69fb1b0
06:49:19 node->uv_fs_read(0, 0x7ffdb69fabd0, 27, 0x7ffdb69faba0) = 268
06:49:19 node->uv_fs_read(0, 0x7ffdb69fabd0, 27, 0x7ffdb69faba0) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69fabd0, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabd0, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fb2a0, 0xe0aa1a0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb2a0, 0xe0aa1a0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fabd0, 0xe0addc0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fabd0, 0xe0addc0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc600, 0x2c7d0e01, 0x7ffdb69fc670, 0) = 0x7ffdb69fc670
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc600, 0x2c7d0e01, 0x7ffdb69fc670, 0) = 0x7ffdb69fc670
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc4d0, 0x2bc3df51aae1, 0x7ffdb69fcb50, 0x7ffdb69fc540) = 0x7ffdb69fc540
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fc4d0, 0x2bc3df51aae1, 0x7ffdb69fcb50, 0x7ffdb69fc540) = 0x7ffdb69fc540
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa560, 0x7ffdb69fa738, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fab40, 8192, 0, 0)      = 0x7ffdb69fab40
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa560, 27, 0x7ffdb69fa530) = 695
06:49:19 node->uv_fs_read(0, 0x7ffdb69fa560, 27, 0x7ffdb69fa530) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69fa560, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa560, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fac30, 0xe09fb00, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fac30, 0xe09fb00, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fac30, 0xe0addc0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fac30, 0xe0addc0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa560, 0xe09fb00, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa560, 0xe09fb00, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa560, 0xe0addc0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa560, 0xe0addc0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbf90, 0x2c7d0e01, 0x7ffdb69fc000, 0) = 0x7ffdb69fc000
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbe60, 0x2bc3df51aae1, 0x7ffdb69fc4e0, 0x7ffdb69fbed0) = 0x7ffdb69fbed0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbe60, 0x2bc3df51aae1, 0x7ffdb69fc4e0, 0x7ffdb69fbed0) = 0x7ffdb69fbed0
06:49:19 node->uv_fs_open(0, 0x7ffdb69f9ef0, 0x7ffdb69fa0c8, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fa4d0, 8192, 0, 0)      = 0x7ffdb69fa4d0
06:49:19 node->uv_fs_read(0, 0x7ffdb69f9ef0, 27, 0x7ffdb69f9ec0) = 528
06:49:19 node->uv_fs_read(0, 0x7ffdb69f9ef0, 27, 0x7ffdb69f9ec0) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69f9ef0, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9ef0, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa5c0, 0xe09f7f0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa5c0, 0xe09f7f0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa5c0, 0xdfe1780, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa5c0, 0xdfe1780, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa560, 0xe09fb00, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa560, 0xe09fb00, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa560, 0xe0addc0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa560, 0xe0addc0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbf90, 0x2c7d0e01, 0x7ffdb69fc000, 0) = 0x7ffdb69fc000
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbe60, 0x2bc3df51aae1, 0x7ffdb69fc4e0, 0x7ffdb69fbed0) = 0x7ffdb69fbed0
06:49:19 node->uv_fs_open(0, 0x7ffdb69f9ef0, 0x7ffdb69fa0c8, 0) = 27
06:49:19 node->uv_buf_init(0x7ffdb69fa4d0, 8192, 0, 0)      = 0x7ffdb69fa4d0
06:49:19 node->uv_fs_read(0, 0x7ffdb69f9ef0, 27, 0x7ffdb69f9ec0) = 181
06:49:19 node->uv_fs_read(0, 0x7ffdb69f9ef0, 27, 0x7ffdb69f9ec0) = 0
06:49:19 node->uv_fs_close(0, 0x7ffdb69f9ef0, 27, 0)        = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9ef0, 0x2f225ff, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa5c0, 0xe09f7f0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa5c0, 0xe09f7f0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa5c0, 0xe0aa1a0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa5c0, 0xe0aa1a0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69f9f00, 0xe0adec0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9f00, 0xe0adec0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69f9f00, 0xdfe1780, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69f9f00, 0xdfe1780, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_mutex_lock(0xdebb3e0, 0x7ffdb69fbce0, 0x7ffdb69fbd08, 0x7ffdb69fbd10) = 0
06:49:19 node->uv_cond_signal(0xdebb408, 0, 0xdf40dc8, 0xdf40dd0) = 0
06:49:19 node->uv_mutex_unlock(0xdebb3e0, 129, 1, 0x7f16e4f43d7f) = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb930, 0x7ffdb69fbb08, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb930, 0x7ffdb69fbb08, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb930, 0x7ffdb69fbb08, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_mutex_lock(0xdebb3e0, 0x7ffdb69fbc90, 0x7ffdb69fbcb8, 0x7ffdb69fbcc0) = 0
06:49:19 node->uv_cond_signal(0xdebb408, 128, 0xdf40dc8, 0xdf40dd0) = 0
06:49:19 node->uv_mutex_unlock(0xdebb3e0, 129, 1, 0x7f16e4f43d7f) = 0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb930, 0x7ffdb69fbb08, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb930, 0x2c6dcbb0, 0x7ffdb69fb9a0, 0) = 0x7ffdb69fb9a0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb930, 0x2cba1746, 0x7ffdb69fb9a0, 0) = 0x7ffdb69fb9a0
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb840, 0x7ffdb69fba18, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb840, 0x7ffdb69fba18, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb840, 0x7ffdb69fba18, 1, -511) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fb800, 0x2cc95997, 0x7ffdb69fb870, 0) = 0x7ffdb69fb870
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa560, 0xe09f7f0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa560, 0xe09f7f0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_open(0, 0x7ffdb69fa560, 0xe0addc0, 0)  = 0xfffffffe
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fa560, 0xe0addc0, 0, 0) = 0x7f16e4eb3b00
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbf90, 0x2c7d0e01, 0x7ffdb69fc000, 0) = 0x7ffdb69fc000
06:49:19 node->uv_fs_req_cleanup(0x7ffdb69fbf90, 0x2c7d0e01, 0x7ffdb69fc000, 0) = 0x7ffdb69fc000
06:49:19 node->uv_mutex_lock(0xdebb3e0, 0x7ffdb69fb990, 0x7ffdb69fb9b8, 0x7ffdb69fb9c0) = 0
06:49:19 node->uv_cond_signal(0xdebb408, 0, 0xdf40dc8, 0xdf40dd0) = 0
06:49:19 node->uv_mutex_unlock(0xdebb3e0, 129, 1, 0x7f16e4f43d7f) = 0
06:49:19 node->uv_mutex_lock(0xdebb3e0, 0x7ffdb69fb990, 0x7ffdb69fb9b8, 0x7ffdb69fb9c0) = 0
06:49:19 node->uv_cond_signal(0xdebb408, 0, 0xdf40dc8, 0xdf40dd0) = 0
06:49:19 node->uv_mutex_unlock(0xdebb3e0, 129, 1, 0x7f16e4f43d7f) = 0
06:49:19 node->uv_mutex_lock(0xdebb3e0, 0x7ffdb69fb990, 0x7ffdb69fb9b8, 0x7ffdb69fb9c0) = 0
06:49:19 node->uv_cond_signal(0xdebb408, 0, 0xdf40dc8, 0xdf40dd0) = 0
06:49:19 node->uv_mutex_unlock(0xdebb3e0, 129, 1, 0x7f16e4f43d7f) = 0
